5287,生石灰,ｶﾈｼﾞｭｳ印ﾎﾞﾙﾄﾞｰ液用粉末生石灰,井上石灰工業株式会社,生石灰,生石灰,95.00%,1,その他,その他,6/22/1962,6/21/2019
5288,生石灰,上州石灰ﾎﾞﾙﾄﾞｰ液用粉末生石灰,有恒鉱業株式会社,生石灰,生石灰,95.00%,1,その他,その他,6/22/1962,6/21/2019
5289,生石灰,ｵｷﾔﾏﾀ印ﾎﾞﾙﾄﾞｰ液用粉末生石灰,田中石灰工業株式会社,生石灰,生石灰,95.00%,1,その他,その他,6/22/1962,6/21/2019
5299,銅水和剤,ｸﾌﾟﾗﾋﾞｯﾄﾎﾙﾃ,ﾊﾞｲｴﾙｸﾛｯﾌﾟｻｲｴﾝｽ株式会社,塩基性塩化銅,銅,73.50%,1,殺菌剤,水和剤,6/22/1962,6/21/2019
5310,生石灰,ﾏﾙｺ印ﾎﾞﾙﾄﾞｰ液用粉末生石灰,古手川産業株式会社,生石灰,生石灰,95.00%,1,その他,その他,7/23/1962,7/22/2019
5312,生石灰,丸京印ﾎﾞﾙﾄﾞｰ液用粉末生石灰,株式会社丸京石灰,生石灰,生石灰,95.00%,1,その他,その他,7/23/1962,7/22/2019
5313,生石灰,ﾔﾏﾀ印ﾎﾞﾙﾄﾞｰ液用粉末生石灰,田源石灰工業株式会社,生石灰,生石灰,95.00%,1,その他,その他,7/23/1962,7/22/2019
5329,ｸﾛﾙﾋﾟｸﾘﾝくん蒸剤,ﾄﾞｼﾞｮｳﾋﾟｸﾘﾝ,日本化薬株式会社,ｸﾛﾙﾋﾟｸﾘﾝ,ｸﾛﾙﾋﾟｸﾘﾝ,80.00%,1,殺虫剤,くん蒸剤,9/14/1962,9/13/2019
5536,展着剤,ｼﾝﾀﾞｲﾝ,住友化学株式会社,ﾎﾟﾘｵｷｼｴﾁﾚﾝﾉﾆﾙﾌｪﾆﾙｴｰﾃﾙ,,10.00%,1,その他,その他,1/23/1963,1/22/2020
5536,展着剤,ｼﾝﾀﾞｲﾝ,住友化学株式会社,ﾘｸﾞﾆﾝｽﾙﾎﾝ酸ｶﾙｼｳﾑ,,10.00%,1,その他,その他,1/23/1963,1/22/2020
5621,PAP粉剤,日産ｴﾙｻﾝ粉剤2,日産化学工業株式会社,PAP,PAP,2.00%,1,殺虫剤,粉剤,2/26/1963,2/25/2020
5623,PAP乳剤,日産ｴﾙｻﾝ乳剤,日産化学工業株式会社,PAP,PAP,50.00%,1,殺虫剤,乳剤,2/26/1963,2/25/2020
5655,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ水和剤,ｱｸﾞﾚﾌﾟﾄ水和剤,Meiji Seika ﾌｧﾙﾏ株式会社,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ,25.00%,1,殺菌剤,水和剤,3/15/1963,3/14/2017
5683,生石灰,ﾏﾙｷﾁ印ﾎﾞﾙﾄﾞｰ液用粉末生石灰,有限会社井上満吉商店,生石灰,生石灰,95.00%,1,その他,その他,3/15/1963,3/14/2017
5734,展着剤,ﾄｸｴｰｽ,三井化学ｱｸﾞﾛ株式会社,ｼﾞｱﾙｷﾙｽﾙﾎｺﾊｸ酸ﾅﾄﾘｳﾑ,,9.00%,1,その他,その他,4/17/1963,4/16/2017
5734,展着剤,ﾄｸｴｰｽ,三井化学ｱｸﾞﾛ株式会社,ﾎﾟﾘｵｷｼｴﾁﾚﾝｱﾙｷﾙﾌｪﾆﾙｴｰﾃﾙ,,31.00%,1,その他,その他,4/17/1963,4/16/2017
